Hail Contour Data
=================


0.75inch (threshold: 19mm)
----------------------------------------

Region 1
Points: 48
lat,lon
34.5935,-82.1703
34.5990,-82.1703
34.6044,-82.1703
34.6856,-82.2033
34.7019,-82.2099
34.7181,-82.2165
34.5935,-82.1637
34.6423,-82.1835
34.5990,-82.1637
34.6748,-82.1967
34.5881,-82.1571
34.7344,-82.2231
34.6910,-82.2033
34.6477,-82.1835
34.5935,-82.1571
34.7073,-82.2099
34.6802,-82.1967
34.5881,-82.1505
34.5935,-82.1505
34.6964,-82.2033
34.5827,-82.1439
34.6477,-82.1769
34.6856,-82.1967
34.5881,-82.1439
34.5773,-82.1373
34.6748,-82.1901
34.7235,-82.2165
34.6531,-82.1769
34.5827,-82.1373
34.7127,-82.2099
34.5773,-82.1307
34.7019,-82.2033
34.6910,-82.1967
34.6802,-82.1901
34.6477,-82.1703
34.5827,-82.1307
34.5773,-82.1241
34.6531,-82.1703
34.5827,-82.1241
34.6748,-82.1835
34.5773,-82.1175
34.6964,-82.1967
34.6585,-82.1703
34.5827,-82.1175
34.7073,-82.2033
34.6694,-82.1769
34.5773,-82.1109
34.6802,-82.1835
34.6531,-82.1637
34.5719,-82.1043
34.7181,-82.2099
34.6639,-82.1703
34.5827,-82.1109
34.5665,-82.0977
34.5773,-82.1043
34.6748,-82.1769
34.5719,-82.0977
34.6585,-82.1637
34.5665,-82.0911
34.6694,-82.1703
34.5719,-82.0911
34.6639,-82.1637
34.6802,-82.1769
34.5773,-82.0911
34.5719,-82.0845
34.6748,-82.1703
34.5773,-82.0845
34.5827,-82.0845
34.5773,-82.0779
34.5827,-82.0779
34.5773,-82.0713
34.7235,-82.2099
34.5827,-82.0713
34.5773,-82.0647
34.5827,-82.0647
34.5773,-82.0581
34.5827,-82.0581
34.5773,-82.0515
34.5719,-82.0449
34.5665,-82.0383
34.5827,-82.0515
34.5773,-82.0449
34.5719,-82.0383
34.5665,-82.0317
34.5719,-82.0317
34.5719,-82.0251
34.5719,-82.0185
34.5773,-82.0251
34.5827,-82.0317
34.5881,-82.0383
34.5773,-82.0185
34.5827,-82.0251
34.5881,-82.0317
34.5935,-82.0383
34.5773,-82.0119
34.5827,-82.0185
34.5881,-82.0251
34.5935,-82.0317
34.5990,-82.0383
34.6044,-82.0449
34.5827,-82.0119
34.5881,-82.0185
34.5990,-82.0317
34.6044,-82.0383
34.6098,-82.0449
34.7235,-82.2033
34.6098,-82.0383
34.6152,-82.0449
34.7289,-82.2099
34.6152,-82.0383
34.6152,-82.0317
34.6206,-82.0383
34.6152,-82.0251
34.6206,-82.0317
34.6152,-82.0185
34.6260,-82.0317
34.6206,-82.0185
34.6260,-82.0251
34.6314,-82.0317
34.6206,-82.0119
34.7344,-82.2165
34.6260,-82.0185
34.6314,-82.0251
34.6369,-82.0317
34.6369,-82.0251
34.6423,-82.0317
34.6423,-82.0251
34.6477,-82.0317
34.7289,-82.2033
34.6531,-82.0383
34.6477,-82.0251
34.6585,-82.0449
34.6531,-82.0317
34.6585,-82.0383
34.6531,-82.0251
34.6639,-82.0449
34.6585,-82.0317
34.6639,-82.0383
34.6694,-82.0449
34.6694,-82.0383
34.6748,-82.0449
34.6748,-82.0383
34.6802,-82.0449
34.6802,-82.0383
34.7344,-82.2099
34.6856,-82.0449
34.6856,-82.0383
34.6910,-82.0449
34.6910,-82.0383
34.6964,-82.0383
34.6964,-82.0317
34.7344,-82.2033
34.7019,-82.0383
34.7019,-82.0317
34.7073,-82.0383
34.7073,-82.0317
34.7127,-82.0383
34.7127,-82.0317
34.7181,-82.0383
34.7181,-82.0317
34.7235,-82.0383
34.7235,-82.0317
34.7289,-82.0383
34.7289,-82.0317
34.7344,-82.0383
34.7344,-82.0317
34.7344,-82.0251
34.7398,-82.0317
34.7398,-82.0383
34.7398,-82.0449
34.7452,-82.0383
34.7452,-82.0449
34.7398,-82.2099
34.7506,-82.0383
34.7506,-82.0449
34.7398,-82.2165
34.7506,-82.0581
34.7506,-82.0647
34.7506,-82.0713
34.7560,-82.0383
34.7560,-82.0449
34.7560,-82.0515
34.7560,-82.0581
34.7560,-82.0647
34.7560,-82.0713
34.7560,-82.0779
34.7614,-82.0449
34.7614,-82.0515
34.7614,-82.0713
34.7614,-82.0779
34.7669,-82.0713
34.7669,-82.0779
34.7669,-82.0845
34.7669,-82.0911
34.7723,-82.0713
34.7669,-82.0977
34.7723,-82.0779
34.7669,-82.1043
34.7723,-82.0845
34.7723,-82.0911
34.7723,-82.0977
34.7777,-82.0779
34.7398,-82.2231
34.7723,-82.1043
34.7723,-82.1109
34.7777,-82.1043
34.7777,-82.1109
34.7831,-82.1109
34.7831,-82.1175
34.7831,-82.1241
34.7885,-82.1175
34.7885,-82.1241
34.7885,-82.1307
34.7939,-82.1307
34.7939,-82.1373
34.7939,-82.1439
34.7994,-82.1373
34.7994,-82.1439
34.7885,-82.1637
34.7939,-82.1571
34.7994,-82.1505
34.8048,-82.1505
34.7994,-82.1571
34.7939,-82.1637
34.7885,-82.1703
34.7939,-82.1703
34.7885,-82.1769
34.7831,-82.1835
34.7939,-82.1769
34.7885,-82.1835
34.7831,-82.1901
34.7885,-82.1901
34.7831,-82.1967
34.7885,-82.1967
34.7777,-82.2033
34.7831,-82.2033
34.7777,-82.2099
34.7831,-82.2099
34.7777,-82.2165
34.7831,-82.2165
34.7831,-82.2231
34.7885,-82.2231
34.7885,-82.2297
34.7831,-82.2297
34.7885,-82.2363
34.7831,-82.2363
34.7885,-82.2429
34.7831,-82.2429
34.7885,-82.2495
34.7723,-82.2429
34.7831,-82.2495
34.7885,-82.2561
34.7777,-82.2495
34.7669,-82.2429
34.9077,-82.3354
34.9131,-82.3420
34.9023,-82.3354
34.7939,-82.2628
34.9185,-82.3486
34.9077,-82.3420
34.8968,-82.3354
34.7831,-82.2561
34.9131,-82.3486
34.9023,-82.3420
34.8914,-82.3354
34.9185,-82.3552
34.7723,-82.2495
34.8968,-82.3420
34.9131,-82.3552
34.8860,-82.3354
34.7885,-82.2628
34.9185,-82.3618
34.8914,-82.3420
34.9239,-82.3684
